CODE,ONHAND,,,,,,,,,,,,,,,,
04144222-9,0,,,,,,,,,,,,,,,,
04147601-11,0,,,,,,,,,,,,,,,,
04148001-11,0,,,,,,,,,,,,,,,,
04148001-9,0,,,,,,,,,,,,,,,,
04148401-11,0,,,,,,,,,,,,,,,,
04148401-9,0,,,,,,,,,,,,,,,,
416,0,,,,,,,,,,,,,,,,
04165503-10,0,,,,,,,,,,,,,,,,
04165503-11,0,,,,,,,,,,,,,,,,
04165503-8,0,,,,,,,,,,,,,,,,
04165503-9,0,,,,,,,,,,,,,,,,
04165702-10,0,,,,,,,,,,,,,,,,
04165802-10,0,,,,,,,,,,,,,,,,
04165802-11,0,,,,,,,,,,,,,,,,
04165802-9,0,,,,,,,,,,,,,,,,
04166501-10,0,,,,,,,,,,,,,,,,
04166501-11,0,,,,,,,,,,,,,,,,
04166501-8,0,,,,,,,,,,,,,,,,
04166501-9,0,,,,,,,,,,,,,,,,
04170301-10,0,,,,,,,,,,,,,,,,
04170301-11,0,,,,,,,,,,,,,,,,
04170301-9,0,,,,,,,,,,,,,,,,
04170302-10,0,,,,,,,,,,,,,,,,
04170302-11,0,,,,,,,,,,,,,,,,
04170302-8,0,,,,,,,,,,,,,,,,
04170302-9,0,,,,,,,,,,,,,,,,
04176401-M,1,,,,,,,,,,,,,,,,
04176401-S,0,,,,,,,,,,,,,,,,
04181306-10,0,,,,,,,,,,,,,,,,
04181306-11,1,,,,,,,,,,,,,,,,
04181306-9,0,,,,,,,,,,,,,,,,
04185804-10,2,,,,,,,,,,,,,,,,
04186301-11,0,,,,,,,,,,,,,,,,
04186301-9,0,,,,,,,,,,,,,,,,
04186401-11,0,,,,,,,,,,,,,,,,
04195201-10,2,,,,,,,,,,,,,,,,
04195206-11,5,,,,,,,,,,,,,,,,
04195207-10,5,,,,,,,,,,,,,,,,
04195207-11,6,,,,,,,,,,,,,,,,
04195207-9,3,,,,,,,,,,,,,,,,
04195406-10,2,,,,,,,,,,,,,,,,
04195406-11,1,,,,,,,,,,,,,,,,
04195406-9,0,,,,,,,,,,,,,,,,
42015,0,,,,,,,,,,,,,,,,
044179-10,1,,,,,,,,,,,,,,,,
044181-11,1,,,,,,,,,,,,,,,,
044209-9,1,,,,,,,,,,,,,,,,
04429-087-M-10,0,,,,,,,,,,,,,,,,
04429-087-M-11,0,,,,,,,,,,,,,,,,
04429-087-M-6,0,,,,,,,,,,,,,,,,
04429-087-M-7,0,,,,,,,,,,,,,,,,
04429-087-M-8,0,,,,,,,,,,,,,,,,
04429-087-M-9,0,,,,,,,,,,,,,,,,
045955407B02-10,2,,,,,,,,,,,,,,,,
4705,0,,,,,,,,,,,,,,,,
4748,0,,,,,,,,,,,,,,,,
4794,0,,,,,,,,,,,,,,,,
4802,0,,,,,,,,,,,,,,,,
4803,0,,,,,,,,,,,,,,,,
4820,0,,,,,,,,,,,,,,,,
4821,0,,,,,,,,,,,,,,,,
4844,0,,,,,,,,,,,,,,,,
4847,0,,,,,,,,,,,,,,,,
